skuprd,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,affiliate_link,attributes
35440,Grocery  Retail,Baking Ingredients Retail,,Allinsons Yeast 6 Sachets x 7g (42g),https://theqlocal.com/assets/images/Images/imagenameWVOSm.jpg,Fast Action YeastQuality ingredientsBetter baking every timeEasy bake sachetsSuitable for vegetarians and vegansSuitable for VegansSuitable for VegetariansFor bread makers and hand baking You can use easy bake yeast whenever a recipe calls for quick fast action instant or easy blend yeast.Sachets packed in a protective atmosphere FSC  FSC Mix Packaging from responsible sources FSC C112224 www.fsc.org,12.79,,,,,,,"Allinsons Yeast 6 Sachets x 7g (42g),GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Allinsons Yeast 6 Sachets x 7g (42g),GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Allinsons Yeast 6 Sachets x 7g (42g),GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 12""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""6x7g""],""prices"":[""0""],""details_status"":1}}"
35441,Grocery  Retail,Baking Ingredients Retail,,Atora The Original Shredded Beef Suet 240g,https://theqlocal.com/assets/images/Images/imagenamehxlhI.jpg,Shredded Beef SuetThe Original BeefFor fluffy dumplings pastries puddings and piesAtora The Original Beef Shredded Suet is the original suet used for generations. What makes it taste so great is the real beef fats used to create the rich and authentic flavour for delicious results every time. You can now enjoy lighter fluffy dumplings pastries puddings and pies.Carton  Recycle Bag  Dont recycle at home  Recycle with Bags at Large Supermarket Atora trade marks designs and logos appearing on this pack are owned by the Premier Foods Group.,26.49,,,,,,,"Atora The Original Shredded Beef Suet 240g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Atora The Original Shredded Beef Suet 240g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Atora The Original Shredded Beef Suet 240g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 12""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""240g""],""prices"":[""0""],""details_status"":1}}"
35442,Grocery  Retail,Baking Ingredients Retail,,Betty Crocker Devils Food Cake Mix 425g,https://theqlocal.com/assets/images/Images/imagenametOsqz.jpg,Chocolate Cake Mix.Perfect to bake up memories with the kidsNo Artificial Colours or PreservativesSuitable for VegetariansSuitable for VegetariansFSC  FSC Mix Packaging from responsible sources FSC C105339 www.fsc.org Box  Recycle Film  Dont Recycle  General MillsNumber of uses/Servings 12Contains 12 portions,15.69,,,,,,,"Betty Crocker Devils Food Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Betty Crocker Devils Food Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Betty Crocker Devils Food Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""425g""],""prices"":[""0""],""details_status"":1}}"
35443,Grocery  Retail,Baking Ingredients Retail,,Betty Crocker Devils Food Chocolate Cake Mix 425g,https://theqlocal.com/assets/images/Images/imagenameIVFGr.jpg,Chocolate Cake MixNo preservativesSuitable for vegetariansSimply add eggs oil water and icingSuitable for VegetariansNumber of uses/Servings 12Contains 12 portions,8.75,,,,,,,"Betty Crocker Devils Food Chocolate Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Betty Crocker Devils Food Chocolate Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Betty Crocker Devils Food Chocolate Cake Mix 425g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 4""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""425g""],""prices"":[""0""],""details_status"":1}}"
35444,Grocery  Retail,Baking Ingredients Retail,,Dr. Oetker Baking Powder 170g,https://theqlocal.com/assets/images/Images/imagenameiicmK.jpg,Baking PowderSuitable for use in standard and gluten free recipesVersatile raising agentClip close lid and plastic tub keeps product freshAdd a 3tsp of Baking Powder to 225g Plain flour as a substitute for Selfraising flourSuitable for VegansDr. Oetker Baking Powder is a versatile raising agent for cakes scones and pastries. This gluten free baking powder can be used for all types of baking and is one of Dr. Oetkers oldest most popular products. No selfraising flour in the cupboard Add Baking Powder to ordinary flour as a quick and effective alternative.,5.09,,,,,,,"Dr. Oetker Baking Powder 170g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Dr. Oetker Baking Powder 170g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Dr. Oetker Baking Powder 170g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 4""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""170g""],""prices"":[""0""],""details_status"":1}}"
35445,Grocery  Retail,Baking Ingredients Retail,,Dr. Oetker Bicarbonate of Soda 200g,https://theqlocal.com/assets/images/Images/imagenameSPqwi.jpg,Bicarbonate of SodaSuitable for vegansGentle Raising agentPerfect for cookies and soda breadA storage cupboard essential that doubles as a multipurpose cleanerSuitable for VegansOur Dr. Oetker Bicarbonate of Soda delivers a gentle rise ideal for gingerbread parkin cookies pancakes and soda bread. Did you know Bicarbonate of Soda can also be used to keep your home clean. Simply form a paste from one tablespoon of bicarb and one tablespoon of water then use as a homemade cleaning solution.,4.390000000000001,,,,,,,"Dr. Oetker Bicarbonate of Soda 200g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Dr. Oetker Bicarbonate of Soda 200g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Dr. Oetker Bicarbonate of Soda 200g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 4""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""200g""],""prices"":[""0""],""details_status"":1}}"
35446,Grocery  Retail,Baking Ingredients Retail,,Dr. Oetker Madagascan Vanilla Extract 35ml,https://theqlocal.com/assets/images/Images/imagenamekBeny.jpg,Natural Vanilla ExtractAlcoholfreeSuitable for VegansNatural extractMade from real vanilla podsSuitable for VegansDr. Oetker Vanilla Extract is made from real Madagascan vanilla bean pods which are renowned for delivering the best all round vanilla flavour. Vanilla will enhance the creamy and sweet flavours in your cakes desserts and icings. We use a sugar syrup base rather than alcohol so it is suitable for cold preparations such as desserts and icings.,10.690000000000001,,,,,,,"Dr. Oetker Madagascan Vanilla Extract 35ml,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Dr. Oetker Madagascan Vanilla Extract 35ml,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Dr. Oetker Madagascan Vanilla Extract 35ml,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""35ml""],""prices"":[""0""],""details_status"":1}}"
35447,Grocery  Retail,Baking Ingredients Retail,,Goldenfry Cornflour 250g,https://theqlocal.com/assets/images/Images/imagenameRKUkW.jpg,CornflourPerfect for gravies sauces custard and baking,9.49,,,,,,,"Goldenfry Cornflour 250g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Goldenfry Cornflour 250g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Goldenfry Cornflour 250g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 8""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""250g""],""prices"":[""0""],""details_status"":1}}"
35448,Grocery  Retail,Baking Ingredients Retail,,Goldenfry Farmhouse Style Dumpling Mix 142g,https://theqlocal.com/assets/images/Images/imagenameDdDoH.jpg,A mix for Farmhouse Style DumplingsMakes 8 Dumplings in 20 minutesNo Artificial Flavours or Preservatives,7.29,,,,,,,"Goldenfry Farmhouse Style Dumpling Mix 142g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Goldenfry Farmhouse Style Dumpling Mix 142g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Goldenfry Farmhouse Style Dumpling Mix 142g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""142g""],""prices"":[""0""],""details_status"":1}}"
35449,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Baking Kit Chocolate Sponge Cake with Chocolate Buttercream Filling 380g,https://theqlocal.com/assets/images/Images/imagenamejhrGi.jpg,A mix for chocolate sponge cake with chocolate buttercream fillingSuitable for VegetariansSuitable for VegetariansNumber of uses/Servings 8Contains 8 portionsBox Contents 1 x 300g Sachet of Sponge Mix 1 x 300g Sachet of Icing Mix,6.69,,,,,,,"Happy Shopper Baking Kit Chocolate Sponge Cake with Chocolate Buttercream Filling 380g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Baking Kit Chocolate Sponge Cake with Chocolate Buttercream Filling 380g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Baking Kit Chocolate Sponge Cake with Chocolate Buttercream Filling 380g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 5""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""380g""],""prices"":[""0""],""details_status"":1}}"
